Vehicle.Acceleration.Lateral,Vehicle.Acceleration.Longitudinal,Vehicle.Acceleration.Vertical
0.2,0.1,9.8
0.2,0.1,10.1
0.3,0.2,9.7 
0.4,0.1,9.6 
0.5,0.3,9.5 
0.6,0.2,9.4 
0.7,0.4,9.3 
0.8,0.3,9.2 
0.6,0.2,11
0.9,0.5,9.1 
1.0,0.4,9.0 
0.6,0.2,14
1.1,0.6,8.9 
1.2,0.5,8.8 
0.6,0.2,10.2
1.3,0.7,8.7 
1.4,0.6,8.6 
0.9,0.5,9.1 
1.0,0.4,9.0 
0.6,0.2,12
1.1,0.6,8.9 
1.2,0.5,8.8 
0.6,0.2,10.9
1.3,0.7,8.7 
1.4,0.6,8.6 
0.2,0.1,9.8
0.2,0.1,10.1
0.3,0.2,9.7 
0.4,0.1,9.6 
0.5,0.3,9.5 
0.6,0.2,9.4 
0.7,0.4,9.3 
0.8,0.3,9.2 
0.8,0.3,12
0.6,0.2,11
0.9,0.5,9.1 
1.0,0.4,9.0 
0.6,0.2,14
1.1,0.6,8.9 
1.2,0.5,8.8 
0.6,0.2,10.2
1.3,0.7,8.7 
1.4,0.6,8.6 
0.9,0.5,9.1 
1.0,0.4,9.0 
0.6,0.2,12
1.1,0.6,8.9 
1.2,0.5,8.8 
0.6,0.2,10.9
1.3,0.7,8.7 
1.4,0.6,8.6 
