Vehicle.CurrentLocation.Latitude,Vehicle.CurrentLocation.Longitude
76.99678,11.0842
76.99747,11.08412
76.99765,11.08411
76.99765,11.08411
76.99769,11.08452
76.99769,11.08452
76.99782,11.08455
76.99798,11.08459
76.99816,11.0846
76.99932,11.08471
76.99941,11.08474
76.99941,11.08474
76.99975,11.08424
76.99997,11.0839
77.00028,11.08344
77.00043,11.08322
77.00081,11.08266
77.00101,11.08237
77.0011,11.08227
77.00141,11.08192
77.00152,11.08179
77.0017,11.08157
77.00186,11.08141
77.00215,11.081
77.00236,11.08071
77.00243,11.08061
77.00257,11.08033
77.0026,11.07993
77.00257,11.07948
77.00257,11.07948
77.00282,11.07932
77.00309,11.07909
77.00324,11.07895
77.00358,11.07863
77.00366,11.0786
77.00366,11.0786
77.00374,11.07854
77.00363,11.0784
77.00357,11.07833
77.0031,11.07763
77.00303,11.07753
77.00296,11.07744
77.00267,11.07703
77.00245,11.07649
77.00227,11.07575
77.00224,11.07561
77.00216,11.07501
77.00214,11.07488
77.00213,11.07482
77.00208,11.07445
77.00208,11.07403
77.00212,11.07352
77.00212,11.07333
77.00212,11.07279
77.0021,11.07186
77.00209,11.07145
77.00213,11.07114
77.00221,11.071
77.00227,11.07089
77.00246,11.07058
77.00251,11.07044
77.00252,11.07032
77.00247,11.06995
77.00231,11.06947
77.00227,11.06933
77.00209,11.06869
77.00207,11.06856
77.00202,11.06829
77.00194,11.06793
77.00183,11.06757
77.00178,11.06745
77.00169,11.0672
77.00154,11.06695
77.00122,11.06641
77.00109,11.06617
77.00081,11.06565
77.00056,11.06499
77.00044,11.06476
77.00012,11.064
77.00002,11.06363
76.99982,11.06289
76.99971,11.0626
76.99956,11.06234
76.99938,11.06214
76.99923,11.06203
76.99892,11.0618
76.99878,11.06169
76.99848,11.06144
76.99841,11.06138
76.99818,11.06115
76.99807,11.061
76.99796,11.06086
76.99786,11.06066
76.99771,11.06034
76.99767,11.06026
76.99762,11.06016
76.99741,11.0597
76.9973,11.05951
76.99693,11.05885
76.99675,11.05853
76.99658,11.05823
76.99627,11.05768
76.99621,11.05742
76.99547,11.056
76.99528,11.05552
76.99526,11.05546
76.99434,11.05377
76.99422,11.05354
76.99422,11.05354
76.99415,11.0536
76.99427,11.0538
76.99445,11.05415
76.99445,11.05415
76.99433,11.05421
76.99429,11.05423
76.99429,11.05423
76.99433,11.0543
76.99458,11.05476
76.99469,11.05501
